run	ckpt_a	ckpt_b	acc_a	acc_b	acc_delta	global_block	stage	block	head	js_divergence	cosine_distance	topk_overlap_change	entropy_a	entropy_b	entropy_delta	oscillation_score
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	5	4.8174176501853094e-05	0.00012254547983392428	0.02040816326530612	3.5126759114058363	3.5130669680504862	0.00039105664464988976	0.020617988586106886
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	6	0.00017117014997177225	0.000417597425005356	0.025510204081632654	3.653679570410282	3.654914897223949	0.0012353268136671147	0.026222504337976495
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	7	0.00017334147193524542	0.0003877744445236475	0.05612244897959184	3.4139461212583613	3.4152073032105914	0.0012611819522301282	0.056809683091273745
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	8	0.00010227898107877288	0.0001414163452138073	0.00510204081632653	3.0266280144444027	3.0278752020715975	0.00124718762719489	0.0054704549053386
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	9	0.00014918785185912556	0.0002921389501053806	0.04591836734693878	3.273781237532857	3.274223427355355	0.0004421898224982179	0.04640391313115311
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	10	0.00014995886364347217	0.0003077613459058215	0.05612244897959184	3.3007327401365503	3.2994466032845025	0.0012861368520478145	0.056708782874345914
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	11	0.00010994919831607427	0.00025276503407067885	0.03571428571428571	3.2917052304832883	3.2925261800316172	0.0008209495483288975	0.03615909490150536
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	0	0.0006361845590473546	0.001712636356899222	0.04081632653061224	3.3109823347420186	3.3004574851329602	0.010524849609058418	0.04421763240746466
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	1	0.0006660425670252615	0.0015390898685507803	0.07142857142857142	3.2722635200091594	3.2590868792360066	0.013176640773152837	0.07495136794146276
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	2	0.0006711517734441621	0.0009417607466455369	0.0	3.2353079674230822	3.2295553620145565	0.005752605408525735	0.0021881730609422724
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	3	0.0005273922002162728	0.0010285017080294834	0.04591836734693878	3.4103558384713475	3.4053377568921577	0.005018081579189815	0.04797606941310352
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	4	0.0004786580748206325	0.0009037296744377477	0.025510204081632654	3.3562093332998835	3.345873201268242	0.010336132031641299	0.027926205034055164
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	5	0.0008541129604189772	0.0010180945514358664	0.01020408163265306	2.8754899246445675	2.8644483256446223	0.011041598999945279	0.013180449044502432
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	6	0.00048703066899621216	0.0008965634293861546	0.01020408163265306	3.401033541244815	3.390244290609256	0.010789250635559355	0.012666600794591363
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	7	0.0001841204707827289	0.0005455744625506576	0.01020408163265306	3.6028170869290417	3.601643849290009	0.0011732376390325427	0.0110511003298897
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	8	0.0005958414410110009	0.0012964239673395328	0.05102040816326531	3.1615644074778664	3.1525517525649174	0.009012654912949003	0.05381393906291074
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	9	0.00017060770192177667	0.0004557078517358759	0.00510204081632653	3.4073857378640806	3.4038948120733648	0.0034909257907158597	0.006077448949055769
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	10	0.0005612935682085124	0.0013008970196743963	0.05102040816326531	3.3507935980978187	3.3416560982652457	0.00913749983257306	0.05379634873440552
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	11	0.00047747652022886195	0.000954573688953464	0.03571428571428571	3.3470506179959423	3.341504156717118	0.0055464612788242995	0.03770098205135047
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	12	0.0005418157382934823	0.0012852537681768972	0.04591836734693878	3.265688887131457	3.2618807837431345	0.0038081033883226034	0.04812624719224142
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	13	0.0008116169097682088	0.0010511860972590714	0.01020408163265306	3.3357999016856765	3.3707200514547817	0.03492014976910518	0.015558899616590858
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	14	0.00022634741646857383	0.0005859752643838645	0.030612244897959183	3.3783353133435283	3.367472431448137	0.010862881895391308	0.032510855768350756
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	15	0.0004343387097432261	0.0007545595772578961	0.01020408163265306	3.1149246921632914	3.1078056367093345	0.007119055453956857	0.012104885465049868
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	16	0.0005233397337007705	0.0010691433636612624	0.061224489795918366	3.3758301766396146	3.373741525474046	0.002088651165568667	0.06302583800983726
original	48	49	80.598	80.514	-0.08400000000000318	10	3	0	17	0.0005531305087645215	0.0013198269046390543	0.02040816326530612	3.2875159074680393	3.279876527017531	0.00763938045050816	0.023045058723760514
