run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
scheme_c	1	0	1	0	3.592038390195374e-06	1.1646622831891959e-05	0.018282312925170068	0.00033538714782592	0.018331090301174746	1.6711596305168424	0.7272727272727273	0.018331090301174746	0.0007340591604476401	-0.0676702149323217	0.0676702149323217	1.0722194272989731	0.019166297386946748	1:0	0:1:0
scheme_c	1	0	1	1	4.739672592348213e-06	1.6537084012169245e-06	0.006802721088435375	0.001760111604242387	0.006985125629853176	2.2035007478910416	0.6363636363636364	0.006985125629853176	0.00011165671640083358	0.14918309234055024	-0.14918309234055024	1.2684555223663883	0.08198950159036086	1:1	0:1:1
scheme_c	1	0	1	2	2.6153216354825864e-06	8.897780064261637e-06	0.002125850340136054	0.00016591826374294053	0.002153955268210093	4.7438951309295465	0.5454545454545454	0.002153955268210093	9.166182899870295e-07	0.30778732528368835	-0.30778732528368835	2.5105148734308154	0.1562411173086143	1:2	0:1:2
scheme_c	2	1	0	0	4.788100600246162e-06	1.371974840689664e-05	0.031462585034013606	4.878594388661265e-05	0.03148597147740941	1.7832211771888542	0.5454545454545454	0.03148597147740941	0.0010401397298188861	-0.11958603603780049	0.11958603603780049	1.1235524607809746	0.03295304333703813	2:0	1:0:0
scheme_c	2	1	0	1	7.4866041325707365e-06	2.4523416572922823e-05	0.02593537414965986	0.0002772522237914539	0.025995109392744502	1.7677576148754994	0.45454545454545453	0.025995109392744502	0.0004542087093493194	-0.0476112985455546	0.0476112985455546	1.0495258607020714	0.026936814177519572	2:1	1:0:1
scheme_c	2	1	0	2	2.4291917756402248e-05	3.147797195642473e-06	0.002976190476190476	0.003404410597494171	0.0033440712508919375	3.139528653262037	0.5454545454545454	0.0033440712508919375	6.774674352310899e-05	-0.09414194115345532	0.09414194115345532	1.7568279436501268	0.0034120704219274167	2:2	1:0:2
scheme_c	2	1	0	3	3.426368448271758e-05	2.956401964423113e-06	0.025085034013605442	0.008883489780200945	0.02601060307807267	1.4689825224063462	0.5454545454545454	0.02601060307807267	0.00041370310451985845	0.4088489710818106	-0.4088489710818106	0.8987075157643629	0.23181844216092026	2:3	1:0:3
scheme_c	2	1	0	4	3.5518645109492594e-05	1.7089362206919774e-06	0.03784013605442176	0.005256653315362163	0.038403028967288165	1.353892168628715	0.45454545454545453	0.038403028967288165	0.0006988480816785367	0.5914166142552526	-0.5914166142552526	0.832140828667536	0.33625925517854616	2:4	1:0:4
scheme_c	2	1	0	5	3.082339386077522e-05	1.54905316097446e-06	0.0233843537414966	0.005170412970963351	0.023933767485614686	1.7222096201064323	0.5454545454545454	0.023933767485614686	0.0006827176610293518	-0.21699645017973465	0.21699645017973465	1.1327539194042822	0.02485657861529217	2:5	1:0:5
scheme_c	3	1	1	0	4.2273753322415165e-06	6.809356119176953e-06	0.0017006802721088435	0.0002831958990122674	0.0017400365934614886	2.9761855933790664	0.5454545454545454	0.0017400365934614886	3.2381089364245395e-05	-0.17477475894693006	0.17477475894693006	1.713763149312955	0.001763265605909538	3:0	1:1:0
