epoch	phase	top1	top5	samples	rolling_best	drop	applied_head	applied_weight	applied_spike_score	next_head	next_weight	next_spike_score	triggered	reason	prior_source	cooldown_state	window_pulses
76	observe	80.5840	95.3980	50000	80.6940	0.1100		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
77	observe	80.5700	95.3500	50000	80.6940	0.1240		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
78	observe	80.7080	95.3680	50000	80.7080	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
79	observe	80.5840	95.3680	50000	80.7080	0.1240		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
80	observe	80.5300	95.3340	50000	80.7080	0.1780		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
81	observe	80.5400	95.3900	50000	80.7080	0.1680		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
82	observe	80.5420	95.3440	50000	80.7080	0.1660		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
83	observe	80.5960	95.3840	50000	80.7080	0.1120		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
84	observe	80.4440	95.4020	50000	80.7080	0.2640		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
85	observe	80.6240	95.3500	50000	80.7080	0.0840		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
86	observe	80.5420	95.4280	50000	80.7080	0.1660		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
87	observe	80.6500	95.3760	50000	80.7080	0.0580		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
88	observe	80.5860	95.3920	50000	80.7080	0.1220		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
89	observe	80.7000	95.3960	50000	80.7080	0.0080		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
90	observe	80.5300	95.3880	50000	80.7080	0.1780		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
91	dynamic	80.5440	95.3620	50000	80.7080	0.1640		0	0.000000	8:4	2e-05	1.000000	1	offline_prior_validation_drop:head=8:4,spike_score=1.000000,drop=0.1640,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"8:4": 99}	0
92	dynamic	80.6780	95.4180	50000	80.7080	0.0300	8:4	2e-05	1.000000		0	0.000000	0	drop_below_threshold:0.0300<0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"8:4": 99}	1
93	dynamic	80.4660	95.3860	50000	80.7080	0.2420		0	0.000000	5:7	2e-05	1.000000	1	offline_prior_validation_drop:head=5:7,spike_score=1.000000,drop=0.2420,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	1
94	dynamic	80.6220	95.3520	50000	80.7080	0.0860	5:7	2e-05	1.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
95	dynamic	80.5480	95.4420	50000	80.7080	0.1600		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
96	dynamic	80.6500	95.3300	50000	80.7080	0.0580		0	0.000000		0	0.000000	0	drop_below_threshold:0.0580<0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
97	dynamic	80.6920	95.4140	50000	80.7080	0.0160		0	0.000000		0	0.000000	0	drop_below_threshold:0.0160<0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
98	dynamic	80.8280	95.4240	50000	80.8280	0.0000		0	0.000000		0	0.000000	0	drop_below_threshold:0.0000<0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
99	dynamic	80.6200	95.3900	50000	80.8280	0.2080		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
100	dynamic	80.6000	95.4080	50000	80.8280	0.2280		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
101	dynamic	80.5780	95.3780	50000	80.8280	0.2500		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
102	dynamic	80.5800	95.3880	50000	80.8280	0.2480		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
103	dynamic	80.6320	95.3980	50000	80.8280	0.1960		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 99}	2
104	dynamic	80.6700	95.3740	50000	80.8280	0.1580		0	0.000000	8:4	1e-05	1.000000	1	offline_prior_validation_drop:head=8:4,spike_score=1.000000,drop=0.1580,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 112}	1
105	dynamic	80.5940	95.3680	50000	80.8280	0.2340	8:4	1e-05	1.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 101, "8:4": 112}	2
106	dynamic	80.6000	95.4220	50000	80.8280	0.2280		0	0.000000	5:7	2e-05	1.000000	1	offline_prior_validation_drop:head=5:7,spike_score=1.000000,drop=0.2280,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	1
107	dynamic	80.5660	95.4040	50000	80.8280	0.2620	5:7	2e-05	1.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
108	dynamic	80.4720	95.4200	50000	80.8280	0.3560		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
109	dynamic	80.5580	95.3900	50000	80.8280	0.2700		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
110	dynamic	80.6780	95.3800	50000	80.8280	0.1500		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
111	dynamic	80.5320	95.4620	50000	80.8280	0.2960		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
112	dynamic	80.6300	95.3860	50000	80.8280	0.1980		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
113	dynamic	80.6420	95.4280	50000	80.8280	0.1860		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
114	dynamic	80.6880	95.3700	50000	80.8280	0.1400		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
115	dynamic	80.5960	95.3340	50000	80.8280	0.2320		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
116	dynamic	80.6020	95.3760	50000	80.8280	0.2260		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 112}	2
117	dynamic	80.5460	95.3820	50000	80.8280	0.2820		0	0.000000	8:4	2e-05	1.000000	1	offline_prior_validation_drop:head=8:4,spike_score=1.000000,drop=0.2820,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 125}	1
118	dynamic	80.5600	95.3600	50000	80.8280	0.2680	8:4	2e-05	1.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 114, "8:4": 125}	2
119	dynamic	80.5480	95.3980	50000	80.8280	0.2800		0	0.000000	5:7	2e-05	1.000000	1	offline_prior_validation_drop:head=5:7,spike_score=1.000000,drop=0.2800,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	1
120	dynamic	80.6260	95.4120	50000	80.8280	0.2020	5:7	2e-05	1.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
121	dynamic	80.5720	95.4200	50000	80.8280	0.2560		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
122	dynamic	80.6160	95.4240	50000	80.8280	0.2120		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
123	dynamic	80.6120	95.3900	50000	80.8280	0.2160		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
124	dynamic	80.6940	95.4020	50000	80.8280	0.1340		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
125	dynamic	80.5520	95.4200	50000	80.8280	0.2760		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
126	dynamic	80.8040	95.3740	50000	80.8280	0.0240		0	0.000000		0	0.000000	0	drop_below_threshold:0.0240<0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
127	dynamic	80.5880	95.4160	50000	80.8280	0.2400		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
128	dynamic	80.7180	95.4140	50000	80.8280	0.1100		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
129	dynamic	80.5640	95.4220	50000	80.8280	0.2640		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 125}	2
130	dynamic	80.6480	95.4400	50000	80.8280	0.1800		0	0.000000	8:4	2e-05	1.000000	1	offline_prior_validation_drop:head=8:4,spike_score=1.000000,drop=0.1800,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 138}	1
131	dynamic	80.5600	95.4340	50000	80.8280	0.2680	8:4	2e-05	1.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 127, "8:4": 138}	2
132	dynamic	80.6960	95.3380	50000	80.8280	0.1320		0	0.000000	5:7	1e-05	1.000000	1	offline_prior_validation_drop:head=5:7,spike_score=1.000000,drop=0.1320,threshold=0.0800	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 140, "8:4": 138}	1
133	dynamic	80.6580	95.4360	50000	80.8280	0.1700	5:7	1e-05	1.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 140, "8:4": 138}	2
134	dynamic	80.6200	95.4940	50000	80.8280	0.2080		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 140, "8:4": 138}	2
135	dynamic	80.7160	95.4280	50000	80.8280	0.1120		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 140, "8:4": 138}	2
136	dynamic	80.7280	95.4260	50000	80.8280	0.1000		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 140, "8:4": 138}	2
137	dynamic	80.6300	95.4620	50000	80.8280	0.1980		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 140, "8:4": 138}	2
138	dynamic	80.6260	95.4220	50000	80.8280	0.2020		0	0.000000		0	0.000000	0	window_limit:2/12	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{"5:7": 140, "8:4": 138}	2
