case	wbits	abits	metric	value
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.p05	0.05329817160964012
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.p50	0.08670954406261444
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.p95	0.15084773302078247
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.max	0.2742932438850403
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.numel	4416
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.mean	0.22605523467063904
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.std	0.05910251662135124
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.min	0.05082295835018158
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.p05	0.13360390067100525
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.p50	0.22886891663074493
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.p95	0.3243477940559387
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_v_fn.max	0.4142766296863556
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.numel	588
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.mean	0.037311308085918427
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.std	0.010354849509894848
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.min	0.011809107847511768
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.p05	0.01687481813132763
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.p50	0.03877731412649155
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.p95	0.05232236534357071
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_softmax_fn.max	0.05824939161539078
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.5.5.mse	22.17818260192871
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.5.5.mae	1.6917355060577393
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.5.5.rel_l2	0.8369758725166321
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.5.5.student_std	2.30849027633667
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.5.5.teacher_std	5.626265525817871
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.7.1.mse	6.778456211090088
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.7.1.mae	1.2034246921539307
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.7.1.rel_l2	0.5876979231834412
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.7.1.student_std	2.575866460800171
phase1i_w4a6_ckpt2_as_w4a4	4	4	features.7.1.teacher_std	4.430030822753906
phase1i_w4a6_ckpt2_as_w4a4	4	4	logits.kl_student_teacher	3.9289438724517822
phase1i_w4a6_ckpt2_as_w4a4	4	4	logits.teacher_conf_mean	0.7255218029022217
phase1i_w4a6_ckpt2_as_w4a4	4	4	logits.student_top1_agree	0.140625
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.numel	1761
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.mean	0.1522556096315384
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.std	0.1205952987074852
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.min	0.02851107157766819
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.p05	0.04753828048706055
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.p50	0.1070408746600151
