timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original_80.7240	status
2026-07-11T10:20:36Z	checkpoint-52	0.8365	80.5120	95.3500	50000	-0.0860	-0.1700	-0.2120	below_baseline
2026-07-11T10:20:36Z	checkpoint-53	0.8395	80.5300	95.3280	50000	-0.0680	-0.1520	-0.1940	below_baseline
2026-07-11T10:20:36Z	checkpoint-54	0.8307	80.4860	95.3340	50000	-0.1120	-0.1960	-0.2380	below_baseline
2026-07-11T10:20:36Z	checkpoint-55	0.8370	80.4300	95.3240	50000	-0.1680	-0.2520	-0.2940	below_baseline
2026-07-11T10:20:36Z	checkpoint-56	0.8323	80.5120	95.3700	50000	-0.0860	-0.1700	-0.2120	below_baseline
2026-07-11T10:20:36Z	checkpoint-57	0.8299	80.6200	95.4140	50000	0.0220	-0.0620	-0.1040	above_baseline
2026-07-11T10:20:36Z	checkpoint-58	0.8373	80.5560	95.3520	50000	-0.0420	-0.1260	-0.1680	below_baseline
2026-07-11T10:20:36Z	checkpoint-59	0.8309	80.6460	95.3240	50000	0.0480	-0.0360	-0.0780	above_baseline
2026-07-11T10:20:36Z	checkpoint-60	0.8373	80.5900	95.4140	50000	-0.0080	-0.0920	-0.1340	below_baseline
2026-07-11T10:20:36Z	checkpoint-61	0.8315	80.5280	95.4380	50000	-0.0700	-0.1540	-0.1960	below_baseline
2026-07-11T10:20:36Z	checkpoint-62	0.8355	80.6180	95.3320	50000	0.0200	-0.0640	-0.1060	above_baseline
2026-07-11T10:20:36Z	checkpoint-63	0.8264	80.5500	95.4160	50000	-0.0480	-0.1320	-0.1740	below_baseline
2026-07-11T10:20:36Z	checkpoint-64	0.8291	80.5300	95.3660	50000	-0.0680	-0.1520	-0.1940	below_baseline
2026-07-11T10:20:36Z	checkpoint-65	0.8306	80.5620	95.3280	50000	-0.0360	-0.1200	-0.1620	below_baseline
2026-07-11T10:20:36Z	checkpoint-66	0.8289	80.6580	95.3560	50000	0.0600	-0.0240	-0.0660	above_baseline
2026-07-11T10:20:36Z	checkpoint-67	0.8348	80.6700	95.4260	50000	0.0720	-0.0120	-0.0540	above_baseline
2026-07-11T10:20:36Z	checkpoint-68	0.8367	80.6520	95.3920	50000	0.0540	-0.0300	-0.0720	above_baseline
2026-07-11T10:20:36Z	checkpoint-69	0.8296	80.6160	95.3500	50000	0.0180	-0.0660	-0.1080	above_baseline
2026-07-11T10:20:36Z	checkpoint-70	0.8308	80.6500	95.4240	50000	0.0520	-0.0320	-0.0740	above_baseline
2026-07-11T10:20:36Z	checkpoint-71	0.8329	80.5720	95.3960	50000	-0.0260	-0.1100	-0.1520	below_baseline
