name	kind	stage	module	numel	attn_rel	full_rel	extra_rel	extra_over_full	full_minus_attn_rel	cos_attn_full	extra_l2	attn_l2	full_l2	base_l2	max_abs_extra
features.7.1.attn.v.bias	attn_qkv	features.7.1	features.7.1.attn.v	768	0.0010889178665559073	0.00042153310939658216	0.000927527205079399	2.200366197585616	-0.0006673847571593252	0.5480488767082257	0.0023662790190428495	0.0027780139353126287	0.0010754023678600788	2.5511693954467773	0.0002700313925743103
features.7.1.attn.q.weight	attn_qkv	features.7.1	features.7.1.attn.q	589824	0.00196285135405115	0.0018648127398261985	0.0008984793244226306	0.48180672795401924	-9.803861422495151e-05	0.8910480178583371	0.0407659150660038	0.08905873447656631	0.08461051434278488	45.37212371826172	0.00026191025972366333
features.5.5.attn.proj.weight	attn_proj	features.5.5	features.5.5.attn.proj	147456	0.002283930022602996	0.002083908088172442	0.0008940218984074108	0.42901215436591317	-0.00020002193443055348	0.9202379669513481	0.01745535433292389	0.04459265246987343	0.04068731889128685	19.524526596069336	0.00021560065215453506
features.5.5.attn.v.weight	attn_qkv	features.5.5	features.5.5.attn.v	147456	0.0022993029878910554	0.002109570470642267	0.0008573954538377362	0.4064312928957044	-0.00018973251724878852	0.9279340254509941	0.016721345484256744	0.044842131435871124	0.041141875088214874	19.50248908996582	0.00021231360733509064
features.5.5.mlp.fc2.input_quant_fn.s	act_quant	features.5.5	features.5.5.mlp.fc2.input_quant_fn	14	0.0	0.0008461966875089519	0.0008461966875089519	1.0	0.0008461966875089519	0.0	0.0016973114106804132	0.0	0.0016973114106804132	2.005811929702759	0.0010471343994140625
features.7.1.attn.proj.input_quant_fn.s	act_quant	features.7.1	features.7.1.attn.proj.input_quant_fn	49	0.0008741782863925577	0.0008975862161286091	0.0008160612464832244	0.9091731042873954	2.3407929736051342e-05	0.5759843772549299	0.0012071479577571154	0.0012931168312206864	0.001327742706052959	1.4792369604110718	0.0003905743360519409
features.7.1.attn.quant_x_4_qkv.input_quant_fn.s	act_quant	features.7.1	features.7.1.attn.quant_x_4_qkv.input_quant_fn	49	0.0010975674932326572	0.001061998311602759	0.000732130658751615	0.6893896635736543	-3.5569181629898273e-05	0.7706144035687872	0.0010121375089511275	0.001517337397672236	0.0014681646134704351	1.382454752922058	0.0003545433282852173
features.7.1.attn.quan_a_qkx_fn.s	act_quant	features.7.1	features.7.1.attn.quan_a_qkx_fn	1176	0.0010560264795855152	0.0010369826395168996	0.0007237262821092522	0.6979155238764803	-1.904384006861557e-05	0.7610143709735985	0.0036347941495478153	0.005303716287016869	0.0052080717869102955	5.022332668304443	0.0003417283296585083
features.5.5.attn.k.weight	attn_qkv	features.5.5	features.5.5.attn.k	147456	0.0019065154644303597	0.0018559248582245213	0.0006613333554878401	0.3563362776015121	-5.059060620583849e-05	0.9385587366334307	0.015730995684862137	0.04534987732768059	0.04414648935198784	23.786787033081055	0.000194525346159935
features.5.5.attn.q.weight	attn_qkv	features.5.5	features.5.5.attn.q	147456	0.0018575521264849195	0.0018134353952950395	0.0006464411825988489	0.3564732354271023	-4.411673118988007e-05	0.9382618079340908	0.015871645882725716	0.04560725763440132	0.04452408850193024	24.552343368530273	0.00018492713570594788
