key	params	numel	extra_rel	attn_rel	full_rel	extra_over_full	max_extra_rel	max_abs_extra
features.5.5.mlp.fc1.input_quant_fn|act_quant	1	14	0.0003308242799623639	0.0	0.0003308242799623639	1.0	0.0003308242799623639	0.0003522038459777832
features.5.5.attn.quan_a_v_fn|act_quant	1	384	0.00026077324407802077	0.0006590373319549529	0.0006409051551716265	0.4068827375997451	0.00026077324407802077	0.0002466142177581787
features.5.5.attn.quant_x_4_qkv.input_quant_fn|act_quant	1	49	0.0002320043193503274	0.0006916063363327821	0.0006781767697106678	0.34210006846637936	0.0002320043193503274	0.00022405385971069336
features.7.1.mlp.fc2.input_quant_fn|act_quant	1	7	0.00020952810394231063	0.0	0.00020952810394231063	1.0	0.00020952810394231063	0.00023728609085083008
features.7.1.norm1|norm	2	1536	0.00018458355864503552	0.0	0.00018458355864503552	1.0	0.00022038232942555805	0.0003647804260253906
features.7.1.mlp.fc1.input_quant_fn|act_quant	1	7	0.0001471406633509698	0.0	0.0001471406633509698	1.0	0.0001471406633509698	0.00024646520614624023
features.5.5.norm1|norm	2	768	0.00013888209548850624	0.0	0.00013888209548850624	1.0	0.0002800137663953451	0.00033462047576904297
features.5.5.norm2|norm	2	768	0.000115622415488277	0.0	0.000115622415488277	1.0	0.0002837278641124382	0.00040030479431152344
features.7.1.attn|relpos	1	4056	5.5764403763654316e-05	0.00010777332802583809	0.00010674914954631404	0.5223873351746043	5.5764403763654316e-05	0.0003021359443664551
features.7.1.norm2|norm	2	1536	4.724268561269701e-05	0.0	4.724268561269701e-05	1.0	0.00010290103106613868	0.0003390312194824219
features.5.5.attn|relpos	1	2028	4.118285781324456e-05	0.00010470575998068759	0.00010323111912027971	0.3989384031113754	4.118285781324456e-05	0.0001571178436279297
