pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2fw_vs_fx100wm	738	50	42	42	0	84.0	84.0	0.00283719296567142	0.018870610743761063
phase2fw_vs_fx100wm	47	50	41	41	0	82.0	82.0	0.0028448509983718395	0.028947487473487854
phase2fw_vs_fx100wm	318	50	44	44	0	88.0	88.0	0.002888265298679471	0.020223893225193024
phase2fw_vs_fx100wm	942	50	39	39	0	78.0	78.0	0.0030051327776163816	0.03500000014901161
phase2fw_vs_fx100wm	115	50	47	47	0	94.0	94.0	0.0030166306532919407	0.004621095489710569
phase2fw_vs_fx100wm	613	50	47	47	0	94.0	94.0	0.0030252260621637106	0.011615782044827938
phase2fw_vs_fx100wm	461	50	24	24	0	48.0	48.0	0.0030581089667975903	0.004999990575015545
phase2fw_vs_fx100wm	40	50	38	38	0	76.0	76.0	0.0030655055306851864	0.006874999962747097
phase2fw_vs_fx100wm	72	50	48	48	0	96.0	96.0	0.0030765908304601908	-0.010625000111758709
phase2fw_vs_fx100wm	935	50	36	36	0	72.0	72.0	0.00308426795527339	0.02323620766401291
phase2fw_vs_fx100wm	649	50	46	46	0	92.0	92.0	0.003185824491083622	0.0037499999161809683
phase2fw_vs_fx100wm	171	50	46	46	0	92.0	92.0	0.003199459984898567	0.04738834500312805
phase2fw_vs_fx100wm	323	50	48	48	0	96.0	96.0	0.0032325738575309515	0.02901417762041092
phase2fw_vs_fx100wm	43	50	45	45	0	90.0	90.0	0.0032570231705904007	0.041553057730197906
phase2fw_vs_fx100wm	677	50	35	35	0	70.0	70.0	0.003288418985903263	0.027812480926513672
phase2fw_vs_fx100wm	777	50	44	44	0	88.0	88.0	0.0033115625847131014	0.006437254138290882
phase2fw_vs_fx100wm	750	50	33	33	0	66.0	66.0	0.003368822392076254	0.0460507869720459
phase2fw_vs_fx100wm	173	50	38	38	0	76.0	76.0	0.0033709502313286066	0.014993743970990181
phase2fw_vs_fx100wm	798	50	39	39	0	78.0	78.0	0.0033818217925727367	0.03233079984784126
phase2fw_vs_fx100wm	313	50	39	39	0	78.0	78.0	0.003383312840014696	0.025060033425688744
phase2fw_vs_fx100wm	398	50	43	43	0	86.0	86.0	0.003384563373401761	0.03500673174858093
phase2fw_vs_fx100wm	371	50	34	34	0	68.0	68.0	0.0033862523268908262	0.054375000298023224
phase2fw_vs_fx100wm	243	50	42	42	0	84.0	84.0	0.0033961227163672447	0.01662687212228775
phase2fw_vs_fx100wm	165	50	32	32	0	64.0	64.0	0.0034130557905882597	0.03339242935180664
phase2fw_vs_fx100wm	536	50	29	29	0	58.0	58.0	0.0034148397389799356	0.023750895634293556
phase2fw_vs_fx100wm	197	50	42	42	0	84.0	84.0	0.003420280758291483	0.008125009946525097
phase2fw_vs_fx100wm	590	50	28	28	0	56.0	56.0	0.0034393330570310354	0.028501462191343307
phase2fw_vs_fx100wm	708	50	34	34	0	68.0	68.0	0.0034828451462090015	0.014997853897511959
phase2fw_vs_fx100wm	78	50	39	39	0	78.0	78.0	0.003501972882077098	0.032893553376197815
phase2fw_vs_fx100wm	445	50	31	31	0	62.0	62.0	0.00350974197499454	0.0019000816391780972
phase2fw_vs_fx100wm	382	50	42	42	0	84.0	84.0	0.0035119459498673677	0.00975022278726101
phase2fw_vs_fx100wm	299	50	46	46	0	92.0	92.0	0.0035227322950959206	-0.015937499701976776
phase2fw_vs_fx100wm	163	50	30	30	0	60.0	60.0	0.003528264816850424	0.029314270243048668
phase2fw_vs_fx100wm	71	50	47	47	0	94.0	94.0	0.0035550263710319996	0.019375000149011612
phase2fw_vs_fx100wm	146	50	48	48	0	96.0	96.0	0.0035852021537721157	0.017812499776482582
phase2fw_vs_fx100wm	208	50	42	42	0	84.0	84.0	0.0036747741978615522	0.009867601096630096
phase2fw_vs_fx100wm	286	50	47	47	0	94.0	94.0	0.0037155523896217346	0.011043243110179901
phase2fw_vs_fx100wm	90	50	50	50	0	100.0	100.0	0.003728550625964999	0.04465629532933235
phase2fw_vs_fx100wm	513	50	40	40	0	80.0	80.0	0.0037492334377020597	0.011249990202486515
phase2fw_vs_fx100wm	87	50	48	48	0	96.0	96.0	0.0037494199350476265	0.03299587219953537
phase2fw_vs_fx100wm	107	50	48	48	0	96.0	96.0	0.0037503771018236876	0.00485606212168932
phase2fw_vs_fx100wm	992	50	43	43	0	86.0	86.0	0.003756570629775524	0.025624999776482582
phase2fw_vs_fx100wm	490	50	41	41	0	82.0	82.0	0.003780954983085394	0.004441795405000448
phase2fw_vs_fx100wm	511	50	43	43	0	86.0	86.0	0.0037813519593328238	0.007345390506088734
phase2fw_vs_fx100wm	957	50	48	48	0	96.0	96.0	0.0037901930045336485	0.04649486392736435
phase2fw_vs_fx100wm	444	50	43	43	0	86.0	86.0	0.0038052957970649004	-0.0019416046561673284
phase2fw_vs_fx100wm	56	50	46	46	0	92.0	92.0	0.0038184290751814842	0.022340288385748863
phase2fw_vs_fx100wm	304	50	33	33	0	66.0	66.0	0.0038304764311760664	0.008312110789120197
phase2fw_vs_fx100wm	976	50	29	29	0	58.0	58.0	0.0038403761573135853	0.007709293160587549
phase2fw_vs_fx100wm	998	50	26	26	0	52.0	52.0	0.0038459724746644497	0.016875000670552254
phase2fw_vs_fx100wm	762	50	28	28	0	56.0	56.0	0.003852772992104292	0.014700870960950851
phase2fw_vs_fx100wm	178	50	48	48	0	96.0	96.0	0.0038576580118387938	0.029825210571289062
phase2fw_vs_fx100wm	548	50	46	46	0	92.0	92.0	0.003870252752676606	0.02204177901148796
phase2fw_vs_fx100wm	385	50	31	31	0	62.0	62.0	0.0038735968992114067	0.015625
phase2fw_vs_fx100wm	280	50	37	37	0	74.0	74.0	0.0038794386200606823	-0.0015624904772266746
phase2fw_vs_fx100wm	736	50	45	45	0	90.0	90.0	0.003925213124603033	0.033459920436143875
