pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
best250_vs_phase2w	217	50	47	47	0	94.0	94.0	-0.011420621536672115	-0.05677555873990059
best250_vs_phase2w	64	50	33	33	0	66.0	66.0	-0.011314050294458866	-0.015258006751537323
best250_vs_phase2w	793	50	42	42	0	84.0	84.0	-0.011278779245913029	-0.11324579268693924
best250_vs_phase2w	328	50	46	46	0	92.0	92.0	-0.010954231955111027	-0.06947793811559677
best250_vs_phase2w	135	50	50	50	0	100.0	100.0	-0.01091453805565834	-0.050166770815849304
best250_vs_phase2w	498	50	37	37	0	74.0	74.0	-0.010800079442560673	-0.06872725486755371
best250_vs_phase2w	466	50	48	48	0	96.0	96.0	-0.010782408528029919	-0.12918205559253693
best250_vs_phase2w	189	50	42	42	0	84.0	84.0	-0.010658187791705132	-0.02830430120229721
best250_vs_phase2w	445	50	30	30	0	60.0	60.0	-0.010535730049014091	0.020648421719670296
best250_vs_phase2w	671	50	39	39	0	78.0	78.0	-0.010289831086993217	0.003835611278191209
best250_vs_phase2w	516	50	25	25	0	50.0	50.0	-0.010204149410128593	-0.0372164249420166
best250_vs_phase2w	985	50	49	49	0	98.0	98.0	-0.010128667578101158	-0.0645136833190918
best250_vs_phase2w	513	50	37	37	0	74.0	74.0	-0.01008625514805317	-0.013377122581005096
best250_vs_phase2w	394	50	45	45	0	90.0	90.0	-0.010038044303655624	-0.04950284957885742
best250_vs_phase2w	306	50	44	44	0	88.0	88.0	-0.009944441728293896	-0.01696206070482731
best250_vs_phase2w	428	50	42	42	0	84.0	84.0	-0.009927565231919289	-0.11669003218412399
best250_vs_phase2w	972	50	36	36	0	72.0	72.0	-0.009865867905318737	-0.022811641916632652
best250_vs_phase2w	534	50	32	32	0	64.0	64.0	-0.009772268123924732	-0.04223654791712761
best250_vs_phase2w	614	50	45	45	0	90.0	90.0	-0.009732279926538467	-0.04585898295044899
best250_vs_phase2w	486	50	45	45	0	90.0	90.0	-0.009700440801680088	-0.04421769082546234
best250_vs_phase2w	907	50	29	29	0	58.0	58.0	-0.009495683945715427	-0.0007086276891641319
best250_vs_phase2w	775	50	37	37	0	74.0	74.0	-0.00947889406234026	-0.01893571764230728
best250_vs_phase2w	756	50	42	42	0	84.0	84.0	-0.009431535378098488	-0.06903385370969772
best250_vs_phase2w	530	50	33	33	0	66.0	66.0	-0.009295951575040817	-0.057609833776950836
best250_vs_phase2w	797	50	35	35	0	70.0	70.0	-0.009241214953362942	-0.02896176278591156
best250_vs_phase2w	142	50	45	45	0	90.0	90.0	-0.009238655678927898	-0.09549330919981003
best250_vs_phase2w	29	50	47	47	0	94.0	94.0	-0.009213211014866829	-0.10978511720895767
best250_vs_phase2w	503	50	31	31	0	62.0	62.0	-0.00917730387300253	0.0023357486352324486
best250_vs_phase2w	774	50	41	41	0	82.0	82.0	-0.009172412566840649	-0.07895796000957489
best250_vs_phase2w	811	50	33	33	0	66.0	66.0	-0.009154158644378185	-0.029208602383732796
best250_vs_phase2w	93	50	48	48	0	96.0	96.0	-0.00908031314611435	0.006772184278815985
best250_vs_phase2w	888	50	42	42	0	84.0	84.0	-0.00900965090841055	-0.032075271010398865
best250_vs_phase2w	102	50	50	50	0	100.0	100.0	-0.008915790356695652	-0.01562502793967724
best250_vs_phase2w	852	50	43	43	0	86.0	86.0	-0.008877706713974476	-0.05694106966257095
