group_type	key	cmp	params	numel	best_delta_l2	cmp_delta_l2	cmp_over_best	delta_cosine_to_best	extra_l2_vs_best	extra_over_best	best_top1	cmp_top1	delta_top1_vs_best
param	features.7.1.attn.quan_a_qkx_fn.s	highdrift_damp	1	1176	0.005208071237044125	0.005129714772669069	0.984954801728187	0.7466509522906755	0.0036800881966983093	0.7066124922644046	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.move_qkx_b4.bias	movev_damp	1	18432	0.02776009481910279	0.027588700814292513	0.993825885468794	0.7571917570146905	0.01928590215453978	0.6947347363262033	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quan_a_v_fn.s	movev_damp	1	768	0.005384564102811061	0.005387480012612754	1.0005415312634443	0.779520249557481	0.0035765766019712282	0.6642276948850964	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quan_a_qkx_fn.s	movev_damp	1	1176	0.005208071237044125	0.00505763602758507	0.9711149862181158	0.7787848877567307	0.0034170860083007864	0.6561135308587246	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.proj.weight	highdrift_damp	1	589824	0.07671975594985657	0.09097134429819038	1.1857616486377842	0.8464389005666758	0.04844178182765328	0.631412094940897	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quan_a_softmax_fn.s	highdrift_damp	1	49	0.0011873610042804704	0.001046097427414689	0.8810272727868592	0.8176030301810877	0.0006877966303333771	0.5792649647864893	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.v.weight	highdrift_damp	1	589824	0.07714967485232327	0.08912145478699851	1.1551760257913093	0.8659162016949912	0.044577585340750535	0.5778065225301223	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quant_x_4_qkv.input_quant_fn.s	movev_damp	1	49	0.0014681644971444273	0.001411719954523966	0.9615543471251038	0.8573294197153165	0.000771099795233974	0.5252134871356441	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.relative_position_bias_table	highdrift_damp	1	4056	0.007635788145889334	0.0077415878811345614	1.0138557714310321	0.8666501040936379	0.003971982430947182	0.5201797581413344	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc1.input_quant_fn.s	movev_damp	1	7	0.00033793831989684234	0.0004427888771802265	1.310265368293807	0.9390576904511637	0.0001709733547114464	0.5059306525629796	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.k.weight	highdrift_damp	1	589824	0.08343940059411709	0.08832368653612711	1.0585369250885341	0.8808030551855621	0.04219883704619771	0.505742332108423	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc2.input_quant_fn.s	movev_damp	1	7	0.0004049720463938824	0.0002696566566459993	0.6658648641237989	0.8923621620289242	0.00020449716914701705	0.5049661352381832	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.relative_position_bias_table	movev_damp	1	4056	0.007635788145889334	0.0074974970735853744	0.9818890899456911	0.8767599381322156	0.0037589803582363207	0.49228452733591593	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quan_a_softmax_fn.s	movev_damp	1	49	0.0011873610042804704	0.0012558986914431014	1.0577227034705963	0.8908220496381976	0.0005747267401142662	0.4840370687957242	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.q.weight	highdrift_damp	1	589824	0.08461088381291101	0.08914619181850578	1.0536019457688575	0.8902342926783007	0.040944309905801786	0.48391303885132064	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quan_a_v_fn.s	highdrift_damp	1	384	0.0037510638044362245	0.003910510805314176	1.0425071417578609	0.9082629801158875	0.0016482499050295718	0.43940865604052276	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.k.weight	movev_damp	1	589824	0.08343940059411709	0.08347724679533437	1.0004535770984428	0.907881044963134	0.035822827407926854	0.42932747782050285	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.weight	highdrift_damp	1	147456	0.04068736861888195	0.04469010437198738	1.0983778476951658	0.9215305057539218	0.017360509973373954	0.4266805783384427	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.q.weight	movev_damp	1	589824	0.08461088381291101	0.08461120026716301	1.0000037401128288	0.9156177160486578	0.0347590576221304	0.41081071436375205	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.relative_position_bias_table	highdrift_damp	1	2028	0.0054377168139100466	0.005492401898014837	1.0100566259656816	0.9177838357749178	0.0022167430729497124	0.407660631991562	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.v.weight	highdrift_damp	1	147456	0.04114190173504229	0.04494659894083215	1.0924774267920931	0.9292767662954459	0.016614354163260278	0.4038304857723466	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc1.weight	movev_damp	1	2359296	0.16159763915103748	0.16175458759777067	1.0009712298246294	0.9257282785793405	0.062312296922877944	0.3856015301352123	80.554	80.51	-0.04399999999999693
param	features.7.1.norm1.weight	movev_damp	1	768	0.0028434586198221416	0.002819465174667737	0.9915618799629637	0.925603418403474	0.001092453702084163	0.3841989099009628	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.proj.weight	movev_damp	1	589824	0.07671975594985657	0.07665234118917812	0.9991212855170901	0.9275344259295399	0.029194362421529382	0.38053252464216114	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_qkx_b4.bias	highdrift_damp	1	4608	0.01562041628927739	0.015699071328319766	1.0050353996709018	0.9280593105271451	0.005940509504197167	0.3803041733449204	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.relative_position_bias_table	movev_damp	1	2028	0.0054377168139100466	0.005493364396680763	1.0102336301567536	0.9309453788325563	0.0020318979703572533	0.37366748580204123	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.v.weight	movev_damp	1	589824	0.07714967485232327	0.07721793991522291	1.0008848392819583	0.9321952263959997	0.02842316776578796	0.3684159112814723	80.554	80.51	-0.04399999999999693
